 0.0000000000000000E+000, 2.4999999999999996E+000
 5.0000000000000002E-005, 2.5187318067366351E+000
 1.0000000000000000E-004, 2.5373459828239313E+000
 2.0000000000000001E-004, 2.5743368444659591E+000
 4.0000000000000002E-004, 2.6469010152223404E+000
 8.0000000000000004E-004, 2.7863704065730550E+000
 1.2999999999999999E-003, 2.9500744695012564E+000
 1.8000000000000000E-003, 3.1019448236972904E+000
 2.3000000000000000E-003, 3.2419944332223509E+000
 2.8000000000000000E-003, 3.3702456330358710E+000
 3.3000000000000000E-003, 3.4867323105714445E+000
 3.8000000000000000E-003, 3.5915019035333855E+000
 4.3000000000000000E-003, 3.6846172144427625E+000
 4.8000000000000004E-003, 3.7661580426726902E+000
 5.3000000000000009E-003, 3.8362226349519735E+000
 5.8000000000000013E-003, 3.8949289555808115E+000
 6.3000000000000018E-003, 3.9424157778895732E+000
 6.8000000000000022E-003, 3.9788435987787154E+000
 7.3000000000000027E-003, 4.0043953785019566E+000
 7.8000000000000031E-003, 4.0192771081931378E+000
 8.3000000000000036E-003, 4.0237182079870246E+000
 8.8000000000000040E-003, 4.0179717589429993E+000
 9.3000000000000044E-003, 4.0023145723454236E+000
 9.8000000000000049E-003, 3.9770471003230004E+000
 1.0300000000000005E-002, 3.9424931920989907E+000
 1.0800000000000006E-002, 3.8989997005523360E+000
 1.1300000000000006E-002, 3.8469359441341355E+000
 1.1800000000000007E-002, 3.7866930295421768E+000
 1.2300000000000007E-002, 3.7186830409060980E+000
 1.2800000000000008E-002, 3.6433381015751012E+000
 1.3300000000000008E-002, 3.5611093149268420E+000
 1.3800000000000008E-002, 3.4724655909282078E+000
 1.4300000000000009E-002, 3.3778923654743020E+000
 1.4800000000000009E-002, 3.2778902198092847E+000
 1.5300000000000010E-002, 3.1729734075900704E+000
 1.5800000000000008E-002, 3.0636682973897917E+000
 1.6300000000000009E-002, 2.9505117386508548E+000
 1.6800000000000009E-002, 2.8340493592860923E+000
 1.7300000000000010E-002, 2.7148338032897619E+000
 1.7800000000000010E-002, 2.5934229168568290E+000
 1.8300000000000011E-002, 2.4703778916182588E+000
 1.8800000000000011E-002, 2.3462613736810560E+000
 1.9300000000000012E-002, 2.2216355472138662E+000
 1.9800000000000012E-002, 2.0970602013416229E+000
 2.0300000000000012E-002, 1.9730907891055054E+000
 2.0800000000000013E-002, 1.8502764872071664E+000
 2.1300000000000013E-002, 1.7291582651886359E+000
 2.1800000000000014E-002, 1.6102669726015679E+000
 2.2300000000000014E-002, 1.4941214525916298E+000
 2.2800000000000015E-002, 1.3812266901662360E+000
 2.3300000000000015E-002, 1.2720720032267960E+000
 2.3800000000000016E-002, 1.1671292842308270E+000
 2.4300000000000016E-002, 1.0668513001052107E+000
 2.4800000000000016E-002, 9.7167005776052107E-001
 2.5300000000000017E-002, 8.8199524225841486E-001
 2.5800000000000017E-002, 7.9821273436075346E-001
 2.6300000000000018E-002, 7.2068321384145206E-001
 2.6800000000000018E-002, 6.4974085457127972E-001
 2.7300000000000019E-002, 5.8569211699333701E-001
 2.7800000000000019E-002, 5.2881464319408100E-001
 2.8300000000000020E-002, 4.7935625934313636E-001
 2.8800000000000020E-002, 4.3753408982627273E-001
 2.9300000000000020E-002, 4.0353378693153058E-001
 2.9800000000000021E-002, 3.7750887947029116E-001
 3.0300000000000021E-002, 3.5958024322491910E-001
 3.0800000000000022E-002, 3.4983569561422956E-001
 3.1300000000000022E-002, 3.4832971645949851E-001
 3.1800000000000023E-002, 3.5508329621881374E-001
 3.2300000000000023E-002, 3.7008391253833822E-001
 3.2800000000000024E-002, 3.9328563544744416E-001
 3.3300000000000024E-002, 4.2460936100268343E-001
 3.3800000000000024E-002, 4.6394317266529611E-001
 3.4300000000000025E-002, 5.1114282918017662E-001
 3.4800000000000025E-002, 5.6603237721321720E-001
 3.5300000000000026E-002, 6.2840488650047155E-001
 3.5800000000000026E-002, 6.9802330476862184E-001
 3.6300000000000027E-002, 7.7462142920381238E-001
 3.6800000000000027E-002, 8.5790499077671745E-001
 3.7300000000000028E-002, 9.4755284727770506E-001
 3.7800000000000028E-002, 1.0432182804787904E+000
 3.8300000000000028E-002, 1.1445303924205728E+000
 3.8800000000000029E-002, 1.2510955954239316E+000
 3.9300000000000029E-002, 1.3624991900496999E+000
 3.9800000000000030E-002, 1.4783070248761176E+000
 4.0300000000000030E-002, 1.5980672316350339E+000
 4.0800000000000031E-002, 1.7213120289448953E+000
 4.1300000000000031E-002, 1.8475595876025737E+000
 4.1800000000000032E-002, 1.9763159501482515E+000
 4.2300000000000032E-002, 2.1070769971988086E+000
 4.2800000000000032E-002, 2.2393304528561813E+000
 4.3300000000000033E-002, 2.3725579213390136E+000
 4.3800000000000033E-002, 2.5062369468587264E+000
 4.4300000000000034E-002, 2.6398430886659621E+000
 4.4800000000000034E-002, 2.7728520031299961E+000
 4.5300000000000035E-002, 2.9047415246829105E+000
 4.5800000000000035E-002, 3.0349937374617104E+000
 4.6300000000000036E-002, 3.1630970295156189E+000
 4.6800000000000036E-002, 3.2885481215118659E+000
 4.7300000000000036E-002, 3.4108540619715186E+000
 4.7800000000000037E-002, 3.5295341811967242E+000
 4.8300000000000037E-002, 3.6441219962114784E+000
 4.8800000000000038E-002, 3.7541670592294705E+000
 4.9300000000000038E-002, 3.8592367423833789E+000
 4.9800000000000039E-002, 3.9589179516998456E+000
 5.0300000000000039E-002, 4.0528187635818362E+000
 5.0800000000000040E-002, 4.1405699773644153E+000
 5.1300000000000040E-002, 4.2218265778395647E+000
