DrainI(1),DrainV(1),GateV(1),DrainI(2),DrainV(2),GateV(2),DrainI(3),DrainV(3),GateV(3),DrainI(4),DrainV(4),GateV(4),DrainI(5),DrainV(5),GateV(5),DrainI(6),DrainV(6),GateV(6),DrainI(7),DrainV(7),GateV(7),DrainI(8),DrainV(8),GateV(8),DrainI(9),DrainV(9),GateV(9),DrainI(10),DrainV(10),GateV(10),DrainI(11),DrainV(11),GateV(11)
1.5726E-9,550.0000E-3,0.0000E+0,-46.9870E-12,550.0000E-3,500.0000E-3,20.4135E-9,550.0000E-3,1.0000E+0,18.9046E-6,550.0000E-3,1.5000E+0,222.0369E-6,550.0000E-3,2.0000E+0,617.0397E-6,550.0000E-3,2.5000E+0,1.0288E-3,550.0000E-3,3.0000E+0,1.3877E-3,550.0000E-3,3.5000E+0,1.7007E-3,550.0000E-3,4.0000E+0,1.9780E-3,550.0000E-3,4.5000E+0,2.2270E-3,550.0000E-3,5.0000E+0
1.4753E-9,600.0000E-3,0.0000E+0,-43.5020E-12,600.0000E-3,500.0000E-3,20.4457E-9,600.0000E-3,1.0000E+0,18.9389E-6,600.0000E-3,1.5000E+0,223.1154E-6,600.0000E-3,2.0000E+0,632.4141E-6,600.0000E-3,2.5000E+0,1.0808E-3,600.0000E-3,3.0000E+0,1.4766E-3,600.0000E-3,3.5000E+0,1.8219E-3,600.0000E-3,4.0000E+0,2.1277E-3,600.0000E-3,4.5000E+0,2.4019E-3,600.0000E-3,5.0000E+0
1.4243E-9,650.0000E-3,0.0000E+0,-45.0677E-12,650.0000E-3,500.0000E-3,20.4626E-9,650.0000E-3,1.0000E+0,18.9647E-6,650.0000E-3,1.5000E+0,223.9394E-6,650.0000E-3,2.0000E+0,643.7979E-6,650.0000E-3,2.5000E+0,1.1262E-3,650.0000E-3,3.0000E+0,1.5591E-3,650.0000E-3,3.5000E+0,1.9373E-3,650.0000E-3,4.0000E+0,2.2720E-3,650.0000E-3,4.5000E+0,2.5719E-3,650.0000E-3,5.0000E+0
1.3553E-9,700.0000E-3,0.0000E+0,-45.6233E-12,700.0000E-3,500.0000E-3,20.4920E-9,700.0000E-3,1.0000E+0,18.9907E-6,700.0000E-3,1.5000E+0,224.6318E-6,700.0000E-3,2.0000E+0,652.1791E-6,700.0000E-3,2.5000E+0,1.1654E-3,700.0000E-3,3.0000E+0,1.6352E-3,700.0000E-3,3.5000E+0,2.0469E-3,700.0000E-3,4.0000E+0,2.4111E-3,700.0000E-3,4.5000E+0,2.7371E-3,700.0000E-3,5.0000E+0
1.2910E-9,750.0000E-3,0.0000E+0,-49.5123E-12,750.0000E-3,500.0000E-3,20.5139E-9,750.0000E-3,1.0000E+0,19.0160E-6,750.0000E-3,1.5000E+0,225.2054E-6,750.0000E-3,2.0000E+0,658.3732E-6,750.0000E-3,2.5000E+0,1.1984E-3,750.0000E-3,3.0000E+0,1.7051E-3,750.0000E-3,3.5000E+0,2.1506E-3,750.0000E-3,4.0000E+0,2.5449E-3,750.0000E-3,4.5000E+0,2.8975E-3,750.0000E-3,5.0000E+0
1.2314E-9,800.0000E-3,0.0000E+0,-43.3000E-12,800.0000E-3,500.0000E-3,20.5337E-9,800.0000E-3,1.0000E+0,19.0401E-6,800.0000E-3,1.5000E+0,225.7228E-6,800.0000E-3,2.0000E+0,663.0506E-6,800.0000E-3,2.5000E+0,1.2260E-3,800.0000E-3,3.0000E+0,1.7685E-3,800.0000E-3,3.5000E+0,2.2484E-3,800.0000E-3,4.0000E+0,2.6731E-3,800.0000E-3,4.5000E+0,3.0528E-3,800.0000E-3,5.0000E+0
1.2031E-9,850.0000E-3,0.0000E+0,-50.5729E-12,850.0000E-3,500.0000E-3,20.5546E-9,850.0000E-3,1.0000E+0,19.0667E-6,850.0000E-3,1.5000E+0,226.1858E-6,850.0000E-3,2.0000E+0,666.7398E-6,850.0000E-3,2.5000E+0,1.2485E-3,850.0000E-3,3.0000E+0,1.8257E-3,850.0000E-3,3.5000E+0,2.3402E-3,850.0000E-3,4.0000E+0,2.7959E-3,850.0000E-3,4.5000E+0,3.2030E-3,850.0000E-3,5.0000E+0
1.1869E-9,900.0000E-3,0.0000E+0,-47.2900E-12,900.0000E-3,500.0000E-3,20.5730E-9,900.0000E-3,1.0000E+0,19.0885E-6,900.0000E-3,1.5000E+0,226.5458E-6,900.0000E-3,2.0000E+0,669.6572E-6,900.0000E-3,2.5000E+0,1.2668E-3,900.0000E-3,3.0000E+0,1.8768E-3,900.0000E-3,3.5000E+0,2.4260E-3,900.0000E-3,4.0000E+0,2.9131E-3,900.0000E-3,4.5000E+0,3.3481E-3,900.0000E-3,5.0000E+0
1.1347E-9,950.0000E-3,0.0000E+0,-41.1283E-12,950.0000E-3,500.0000E-3,20.5908E-9,950.0000E-3,1.0000E+0,19.1076E-6,950.0000E-3,1.5000E+0,226.9367E-6,950.0000E-3,2.0000E+0,672.1142E-6,950.0000E-3,2.5000E+0,1.2815E-3,950.0000E-3,3.0000E+0,1.9222E-3,950.0000E-3,3.5000E+0,2.5059E-3,950.0000E-3,4.0000E+0,3.0247E-3,950.0000E-3,4.5000E+0,3.4882E-3,950.0000E-3,5.0000E+0
1.1079E-9,1.0000E+0,0.0000E+0,-44.7142E-12,1.0000E+0,500.0000E-3,20.6108E-9,1.0000E+0,1.0000E+0,19.1289E-6,1.0000E+0,1.5000E+0,227.2906E-6,1.0000E+0,2.0000E+0,674.1423E-6,1.0000E+0,2.5000E+0,1.2933E-3,1.0000E+0,3.0000E+0,1.9619E-3,1.0000E+0,3.5000E+0,2.5800E-3,1.0000E+0,4.0000E+0,3.1310E-3,1.0000E+0,4.5000E+0,3.6232E-3,1.0000E+0,5.0000E+0
