 0.0000000000000000E+000, 0.0000000000000000E+000, 4.9999999732985234E+000
 1.0000000000000001E-005, 1.0000000000000001E-005, 4.9999999732985474E+000
 2.0000000000000002E-005, 2.0000000000000002E-005, 4.9999999732985723E+000
 3.0000000000000004E-005, 3.0000000000000004E-005, 4.9999999732985962E+000
 5.0000000000000009E-005, 5.0000000000000009E-005, 4.9999999732986442E+000
 9.0000000000000019E-005, 9.0000000000000019E-005, 4.9999999732987410E+000
 1.7000000000000001E-004, 1.7000000000000001E-004, 4.9999999732989338E+000
 3.3000000000000000E-004, 3.3000000000000000E-004, 4.9999999732993183E+000
 6.4999999999999997E-004, 6.4999999999999997E-004, 4.9999999733000866E+000
 1.2899999999999999E-003, 1.2899999999999999E-003, 4.9999999733016161E+000
 2.2899999999999999E-003, 2.2899999999999999E-003, 4.9999999733039866E+000
 3.2900000000000000E-003, 3.2900000000000000E-003, 4.9999999733063349E+000
 4.2900000000000004E-003, 4.2900000000000004E-003, 4.9999999733086566E+000
 5.2900000000000004E-003, 5.2900000000000004E-003, 4.9999999733109508E+000
 6.2900000000000005E-003, 6.2900000000000005E-003, 4.9999999733132201E+000
 7.2900000000000005E-003, 7.2900000000000005E-003, 4.9999999733154610E+000
 8.2900000000000005E-003, 8.2900000000000005E-003, 4.9999999733176708E+000
 9.2899999999999996E-003, 9.2899999999999996E-003, 4.9999999733198521E+000
 1.0290000000000001E-002, 1.0290000000000001E-002, 4.9999999733219997E+000
 1.1290000000000001E-002, 1.1290000000000001E-002, 4.9999999733241163E+000
 1.2290000000000002E-002, 1.2290000000000002E-002, 4.9999999733261982E+000
 1.3290000000000003E-002, 1.3290000000000003E-002, 4.9999999733282436E+000
 1.4290000000000004E-002, 1.4290000000000004E-002, 4.9999999733302509E+000
 1.5290000000000005E-002, 1.5290000000000005E-002, 4.9999999733322218E+000
 1.6290000000000006E-002, 1.6290000000000006E-002, 4.9999999733341527E+000
 1.7290000000000007E-002, 1.7290000000000007E-002, 4.9999999733360427E+000
 1.8290000000000008E-002, 1.8290000000000008E-002, 4.9999999733378884E+000
 1.9290000000000009E-002, 1.9290000000000009E-002, 4.9999999733396887E+000
 2.0290000000000009E-002, 2.0290000000000009E-002, 4.9999999733414437E+000
 2.1290000000000010E-002, 2.1290000000000010E-002, 4.9999999733455907E+000
 2.2290000000000011E-002, 2.2290000000000011E-002, 4.9999999733472453E+000
 2.3290000000000012E-002, 2.3290000000000012E-002, 4.9999999733488494E+000
 2.4290000000000013E-002, 2.4290000000000013E-002, 4.9999999733503966E+000
 2.5290000000000014E-002, 2.5290000000000014E-002, 4.9999999733518887E+000
 2.6290000000000015E-002, 2.6290000000000015E-002, 4.9999999733533231E+000
 2.7290000000000016E-002, 2.7290000000000016E-002, 4.9999999733546936E+000
 2.8290000000000017E-002, 2.8290000000000017E-002, 4.9999999733560028E+000
 2.9290000000000017E-002, 2.9290000000000017E-002, 4.9999999733572453E+000
 3.0290000000000018E-002, 3.0290000000000018E-002, 4.9999999733584186E+000
 3.1290000000000019E-002, 3.1290000000000019E-002, 4.9999999733595208E+000
 3.2290000000000020E-002, 3.2290000000000020E-002, 4.9999999733605494E+000
 3.3290000000000021E-002, 3.3290000000000021E-002, 4.9999999733615006E+000
 3.4290000000000022E-002, 3.4290000000000022E-002, 4.9999999733623710E+000
 3.5290000000000023E-002, 3.5290000000000023E-002, 4.9999999733631597E+000
 3.6290000000000024E-002, 3.6290000000000024E-002, 4.9999999733638605E+000
 3.7290000000000025E-002, 3.7290000000000025E-002, 4.9999999733644707E+000
 3.8290000000000025E-002, 3.8290000000000025E-002, 4.9999999733649894E+000
 3.9290000000000026E-002, 3.9290000000000026E-002, 4.9999999733654086E+000
 4.0290000000000027E-002, 4.0290000000000027E-002, 4.9999999733657283E+000
 4.1290000000000028E-002, 4.1290000000000028E-002, 4.9999999733659415E+000
 4.2290000000000029E-002, 4.2290000000000029E-002, 4.9999999733660472E+000
 4.3290000000000030E-002, 4.3290000000000030E-002, 4.9999999733660392E+000
 4.4290000000000031E-002, 4.4290000000000031E-002, 4.9999999733659122E+000
 4.5290000000000032E-002, 4.5290000000000032E-002, 4.9999999733656626E+000
 4.6290000000000033E-002, 4.6290000000000033E-002, 4.9999999733652878E+000
 4.7290000000000033E-002, 4.7290000000000033E-002, 4.9999999733623364E+000
 4.8290000000000034E-002, 4.8290000000000034E-002, 4.9999999733616898E+000
 4.9290000000000035E-002, 4.9290000000000035E-002, 4.9999999733609002E+000
 5.0290000000000036E-002, 5.0290000000000036E-002, 4.9999999733599614E+000
 5.1290000000000037E-002, 5.1290000000000037E-002, 4.9999999733588689E+000
 5.2290000000000038E-002, 5.2290000000000038E-002, 4.9999999733576148E+000
 5.3290000000000039E-002, 5.3290000000000039E-002, 4.9999999733561955E+000
 5.4290000000000040E-002, 5.4290000000000040E-002, 4.9999999733546003E+000
 5.5290000000000041E-002, 5.5290000000000041E-002, 4.9999999733528258E+000
 5.6290000000000041E-002, 5.6290000000000041E-002, 4.9999999733508629E+000
 5.7290000000000042E-002, 5.7290000000000042E-002, 4.9999999733487064E+000
 5.8290000000000043E-002, 5.8290000000000043E-002, 4.9999999733463465E+000
 5.9290000000000044E-002, 5.9290000000000044E-002, 4.9999999733437761E+000
 6.0290000000000045E-002, 6.0290000000000045E-002, 4.9999999733409872E+000
 6.1290000000000046E-002, 6.1290000000000046E-002, 4.9999999733379701E+000
 6.2290000000000047E-002, 6.2290000000000047E-002, 4.9999999733322733E+000
